Timestamp (microseconds)      Peak Amplitude
1699174872810740                3145
1699174872823110                2228
1699174872828240                2561
1699174872843910                2228
1699174872845820                2520
1699174872859640                2603
1699174872866020                3020
1699174872877380                2686
1699174872894040               16018
1699174872895930               21643
1699174872906940                3686
1699174872922750                8894
1699174872925240                5853
1699174872943320                2186
1699174872944640                2270
1699174872954000                2645
1699174872970250                2520
1699174872979150                2561
1699174872989100                2686
1699174872994790                2311
1699174873007510                3061
1699174873013440                3394
1699174873032360                2978
1699174873034430                2770
1699174873049910                2645
